codigo_cliente,razao,regiao,pauta_atual,codigo_vendedor_atual,lat,lon
C0001,Cliente Vale 0001 LTDA,VALE,D,V001,-26.902669,-49.123099
C0002,Cliente Vale 0002 LTDA,VALE,D,V001,-26.946396,-49.099315
C0003,Cliente Vale 0003 LTDA,VALE,D,V001,-26.891023,-49.044896
C0004,Cliente Vale 0004 LTDA,VALE,D,V001,-26.872338,-49.115667
C0005,Cliente Vale 0005 LTDA,VALE,D,V001,-26.928769,-49.122524
C0006,Cliente Vale 0006 LTDA,VALE,D,V001,-26.953163,-49.065457
C0007,Cliente Vale 0007 LTDA,VALE,D,V001,-26.976216,-49.102239
C0008,Cliente Vale 0008 LTDA,VALE,D,V001,-26.901414,-49.060707
C0009,Cliente Vale 0009 LTDA,VALE,D,V001,-26.952947,-49.055388
C0010,Cliente Vale 0010 LTDA,VALE,D,V001,-26.882268,-49.12532
C0011,Cliente Vale 0011 LTDA,VALE,D,V001,-26.882702,-49.042323
C0012,Cliente Vale 0012 LTDA,VALE,D,V001,-26.93857,-49.107442
C0013,Cliente Vale 0013 LTDA,VALE,D,V001,-26.864534,-49.085709
C0014,Cliente Vale 0014 LTDA,VALE,D,V001,-26.96827,-49.114494
C0015,Cliente Vale 0015 LTDA,VALE,D,V001,-26.877701,-49.053653
C0016,Cliente Vale 0016 LTDA,VALE,D,V001,-26.882545,-49.038532
C0017,Cliente Vale 0017 LTDA,VALE,D,V001,-26.915053,-49.009326
C0018,Cliente Vale 0018 LTDA,VALE,D,V001,-26.933976,-49.059855
C0019,Cliente Vale 0019 LTDA,VALE,D,V001,-26.879871,-49.051878
C0020,Cliente Vale 0020 LTDA,VALE,D,V001,-26.875995,-49.056818
C0021,Cliente Vale 0021 LTDA,VALE,D,V001,-26.894851,-49.120601
C0022,Cliente Vale 0022 LTDA,VALE,D,V001,-26.952052,-49.091373
C0023,Cliente Vale 0023 LTDA,VALE,D,V001,-26.969825,-49.098165
C0024,Cliente Vale 0024 LTDA,VALE,D,V001,-26.96728,-49.092743
C0025,Cliente Vale 0025 LTDA,VALE,D,V001,-26.903118,-49.08232
C0026,Cliente Vale 0026 LTDA,VALE,D,V001,-26.934978,-49.100959
C0027,Cliente Vale 0027 LTDA,VALE,D,V001,-26.947363,-49.013701
C0028,Cliente Vale 0028 LTDA,VALE,D,V001,-26.901636,-49.053004
C0029,Cliente Vale 0029 LTDA,VALE,D,V001,-26.958863,-49.038605
C0030,Cliente Vale 0030 LTDA,VALE,D,V001,-26.959792,-49.080565
C0031,Cliente Vale 0031 LTDA,VALE,D,V001,-26.860657,-49.0493
C0032,Cliente Vale 0032 LTDA,VALE,D,V001,-26.912566,-49.043946
C0033,Cliente Vale 0033 LTDA,VALE,D,V001,-26.878258,-49.03298
C0034,Cliente Vale 0034 LTDA,VALE,D,V001,-26.951914,-49.122248
C0035,Cliente Vale 0035 LTDA,VALE,D,V001,-26.941546,-49.093971
C0036,Cliente Vale 0036 LTDA,VALE,M,V002,-26.909682,-49.066851
C0037,Cliente Vale 0037 LTDA,VALE,M,V002,-26.829836,-49.142239
C0038,Cliente Vale 0038 LTDA,VALE,M,V002,-26.856347,-49.132524
C0039,Cliente Vale 0039 LTDA,VALE,M,V002,-26.825254,-49.124938
C0040,Cliente Vale 0040 LTDA,VALE,M,V002,-26.903214,-49.150405
C0041,Cliente Vale 0041 LTDA,VALE,M,V002,-26.867636,-49.148471
C0042,Cliente Vale 0042 LTDA,VALE,M,V002,-26.86485,-49.072261
C0043,Cliente Vale 0043 LTDA,VALE,M,V002,-26.887072,-49.153682
C0044,Cliente Vale 0044 LTDA,VALE,M,V002,-26.815295,-49.118857
C0045,Cliente Vale 0045 LTDA,VALE,M,V002,-26.924091,-49.174346
C0046,Cliente Vale 0046 LTDA,VALE,M,V002,-26.921842,-49.104706
C0047,Cliente Vale 0047 LTDA,VALE,M,V002,-26.83995,-49.129341
C0048,Cliente Vale 0048 LTDA,VALE,M,V002,-26.927377,-49.134206
C0049,Cliente Vale 0049 LTDA,VALE,M,V002,-26.815465,-49.116506
C0050,Cliente Vale 0050 LTDA,VALE,M,V002,-26.818471,-49.076706
C0051,Cliente Vale 0051 LTDA,VALE,M,V002,-26.933622,-49.093513
C0052,Cliente Vale 0052 LTDA,VALE,M,V002,-26.853195,-49.115564
C0053,Cliente Vale 0053 LTDA,VALE,M,V002,-26.902981,-49.103085
C0054,Cliente Vale 0054 LTDA,VALE,M,V002,-26.921614,-49.127828
C0055,Cliente Vale 0055 LTDA,VALE,M,V002,-26.880553,-49.065542
C0056,Cliente Vale 0056 LTDA,VALE,M,V002,-26.829898,-49.148393
C0057,Cliente Vale 0057 LTDA,VALE,M,V002,-26.87493,-49.158562
C0058,Cliente Vale 0058 LTDA,VALE,M,V002,-26.825485,-49.075538
C0059,Cliente Vale 0059 LTDA,VALE,M,V002,-26.899187,-49.103326
C0060,Cliente Vale 0060 LTDA,VALE,M,V002,-26.861924,-49.161659
C0061,Cliente Vale 0061 LTDA,VALE,M,V002,-26.843499,-49.115275
C0062,Cliente Vale 0062 LTDA,VALE,M,V002,-26.841565,-49.116358
C0063,Cliente Vale 0063 LTDA,VALE,M,V002,-26.934931,-49.141101
C0064,Cliente Vale 0064 LTDA,VALE,M,V002,-26.932663,-49.068508
C0065,Cliente Vale 0065 LTDA,VALE,M,V002,-26.829553,-49.0802
C0066,Cliente Vale 0066 LTDA,VALE,M,V002,-26.898098,-49.173049
C0067,Cliente Vale 0067 LTDA,VALE,M,V002,-26.829639,-49.066366
C0068,Cliente Vale 0068 LTDA,VALE,M,V002,-26.924722,-49.121681
C0069,Cliente Vale 0069 LTDA,VALE,M,V002,-26.926694,-49.088728
C0070,Cliente Vale 0070 LTDA,VALE,M,V002,-26.8431,-49.164593
C0071,Cliente Vale 0071 LTDA,VALE,PC,V003,-26.952472,-48.97502
C0072,Cliente Vale 0072 LTDA,VALE,PC,V003,-26.973494,-48.942757
C0073,Cliente Vale 0073 LTDA,VALE,PC,V003,-26.957686,-49.00882
C0074,Cliente Vale 0074 LTDA,VALE,PC,V003,-26.94607,-48.957007
C0075,Cliente Vale 0075 LTDA,VALE,PC,V003,-26.979885,-48.998828
C0076,Cliente Vale 0076 LTDA,VALE,PC,V003,-26.900485,-48.965012
C0077,Cliente Vale 0077 LTDA,VALE,PC,V003,-26.95619,-48.978242
C0078,Cliente Vale 0078 LTDA,VALE,PC,V003,-26.9879,-49.00753
C0079,Cliente Vale 0079 LTDA,VALE,PC,V003,-26.966191,-48.971169
C0080,Cliente Vale 0080 LTDA,VALE,PC,V003,-26.976989,-49.007978
C0081,Cliente Vale 0081 LTDA,VALE,PC,V003,-26.992901,-48.96689
C0082,Cliente Vale 0082 LTDA,VALE,PC,V003,-26.977106,-48.939458
C0083,Cliente Vale 0083 LTDA,VALE,PC,V003,-27.121229,-49.384331
C0084,Cliente Vale 0084 LTDA,VALE,PC,V003,-27.17096,-49.336482
C0085,Cliente Vale 0085 LTDA,VALE,PC,V003,-27.172861,-49.379415
